Employee_ID,Salary,Years_Experience,Education_Level,Performance_Rating,Team
446,56276,13,Masters,3.1,D
383,73499,19,Masters,4.9,D
218,85946,5,PhD,4.5,A
110,105204,12,PhD,5.0,C
226,101886,1,PhD,4.0,D
413,65563,5,PhD,4.1,A
274,59847,8,Bachelor,3.3,A
320,76155,13,Bachelor,3.5,D
164,117278,8,PhD,4.7,C
359,68309,11,Bachelor,3.7,A
321,50619,1,Bachelor,4.7,B
394,100108,13,Masters,4.4,C
122,84707,19,Masters,3.4,C
376,70337,3,Masters,4.0,D
179,116504,17,Masters,4.4,D
292,97614,5,Bachelor,3.5,B
451,50281,8,PhD,4.7,A
174,77420,14,Bachelor,4.1,D
170,89030,4,Bachelor,3.3,D
209,51058,11,Bachelor,4.2,C
188,78404,15,Masters,5.0,D
279,79856,19,Masters,3.3,D
477,59200,7,Masters,4.6,D
461,114178,19,PhD,3.4,D
213,83997,19,Bachelor,4.6,C
146,75611,11,PhD,4.5,B
266,91235,5,Masters,3.6,B
455,85057,5,PhD,3.7,A
456,51239,8,Bachelor,4.6,D
177,115661,10,Bachelor,3.9,C
102,95272,6,Masters,4.5,A
262,111212,15,Masters,3.3,A
333,65398,16,PhD,4.7,B
392,106503,17,Masters,4.4,C
265,56638,8,Masters,4.8,C
238,56570,8,Bachelor,3.3,C
123,118785,9,Masters,4.2,B
131,59110,2,Masters,4.2,B
158,62115,15,Bachelor,3.7,B
264,89062,18,Bachelor,3.9,B
297,72911,3,PhD,3.1,B
429,82556,17,Masters,4.5,D
255,51969,4,Bachelor,4.1,D
200,93753,4,PhD,3.1,C
423,54470,14,PhD,4.4,A
286,60225,9,Masters,3.9,C
358,73196,9,Masters,3.1,A
357,63669,18,PhD,4.9,B
148,87380,10,Bachelor,4.9,A
354,98320,4,PhD,4.0,C
363,97414,12,Masters,3.2,C
197,65577,8,Bachelor,4.5,A
192,105409,2,Bachelor,4.0,D
268,78625,13,PhD,3.6,B
467,74089,16,Masters,4.0,B
247,86487,2,PhD,4.0,C
349,115838,11,PhD,4.1,D
133,100138,10,PhD,3.9,A
191,92823,15,Bachelor,4.2,B
280,87208,17,Bachelor,4.8,D
355,104061,8,Masters,3.7,B
483,80659,18,Masters,4.5,D
156,81890,9,PhD,4.8,D
314,97055,8,PhD,3.9,C
215,69508,14,PhD,3.9,B
193,92287,18,Masters,4.2,A
332,76984,12,Bachelor,4.2,C
145,58125,19,Bachelor,4.6,C
305,86059,14,PhD,4.0,A
214,119569,17,PhD,5.0,C
449,67087,3,PhD,3.1,D
128,55704,7,PhD,3.0,D
296,110576,17,Masters,4.3,B
160,77208,12,Bachelor,3.6,B
137,116024,9,PhD,3.5,A
378,89882,15,Masters,3.6,B
190,75923,18,PhD,3.5,D
427,79165,13,PhD,3.1,A
233,117203,8,Bachelor,4.9,A
362,54114,14,PhD,3.4,B
138,114965,8,Bachelor,4.5,D
224,86321,14,Bachelor,4.5,A
421,75426,7,Bachelor,4.9,D
239,67772,12,Masters,3.1,D
398,53712,11,Masters,4.7,D
445,51367,11,Bachelor,4.1,B
140,101924,13,PhD,4.3,C
342,53726,18,Bachelor,4.3,C
426,77723,2,PhD,4.6,A
176,59108,15,Bachelor,3.7,D
367,85643,18,PhD,4.5,B
295,81324,15,Masters,4.1,D
428,58927,19,PhD,4.6,D
473,72443,12,Bachelor,5.0,B
337,113449,13,Masters,3.4,C
167,110233,11,PhD,5.0,D
284,75537,5,PhD,3.2,D
205,72612,1,PhD,3.0,C
431,56471,3,PhD,3.1,B
414,85631,19,PhD,3.7,A
464,81348,7,Masters,4.3,C
380,114732,12,Masters,3.1,A
168,51177,15,Masters,3.0,A
487,54760,5,Masters,4.9,C
444,82779,15,Bachelor,4.6,D
225,71636,8,Masters,4.6,A
352,103551,10,PhD,4.8,A
113,61556,16,PhD,4.4,B
496,77598,8,Masters,3.2,D
260,61563,1,PhD,3.8,A
399,96819,12,Masters,4.4,B
453,76966,5,PhD,3.6,D
245,109889,3,Bachelor,4.4,C
397,76987,1,Bachelor,3.0,C
424,108348,4,Masters,3.6,B
278,74596,8,Masters,4.1,C
263,83174,3,Masters,4.3,A
334,114106,10,PhD,4.2,D
223,119967,2,Masters,4.4,A
387,109182,11,Bachelor,3.0,A
222,89310,10,PhD,3.2,C
120,106088,14,Masters,4.7,A
199,58906,7,PhD,4.4,C
109,86914,2,PhD,3.2,D
434,95379,9,Masters,4.7,D
425,87650,16,PhD,3.5,A
452,96881,13,Bachelor,4.0,B
154,96413,9,Bachelor,3.3,C
348,56012,4,PhD,4.4,C
105,100115,10,Masters,4.3,A
106,57151,12,PhD,3.4,C
220,107716,17,Bachelor,4.7,C
381,86378,14,PhD,3.8,B
432,92652,14,PhD,3.6,B
341,63467,2,Bachelor,3.3,A
269,81010,11,PhD,3.5,B
318,104691,16,PhD,3.0,A
459,114157,19,Masters,4.2,D
443,62289,6,Masters,4.7,A
207,94976,19,Bachelor,4.1,D
343,93596,5,Bachelor,3.4,A
163,73171,4,Bachelor,3.1,C
491,94139,15,Masters,3.4,B
172,98713,4,Bachelor,3.8,D
441,79734,10,Bachelor,4.5,A
360,113646,3,Bachelor,3.4,B
152,53654,5,Masters,4.4,A
435,68743,6,PhD,4.7,B
377,98368,8,Bachelor,3.9,B
326,56441,7,PhD,4.6,A
162,74611,10,Bachelor,4.1,D
111,62149,6,PhD,4.3,D
447,109189,14,Masters,4.1,C
478,71675,4,Masters,3.9,B
287,92668,13,Bachelor,3.5,C
240,63673,17,PhD,3.6,C
484,115429,7,Masters,3.6,A
293,73669,4,Bachelor,4.1,A
253,84068,14,Bachelor,3.2,A
246,59435,3,Masters,4.8,B
258,102249,5,Masters,4.4,A
242,87384,16,Bachelor,3.8,A
103,81401,4,PhD,3.3,B
277,84084,2,PhD,4.8,B
165,105826,18,PhD,4.6,D
488,86451,19,Bachelor,4.4,A
492,57227,19,Masters,3.5,A
495,81910,17,Bachelor,3.8,A
372,86041,14,Masters,3.2,D
285,115681,19,PhD,3.4,A
336,115481,13,PhD,4.6,D
345,118576,12,Masters,4.4,C
129,114174,6,Masters,4.2,D
409,76160,4,Bachelor,4.8,C
402,67633,19,PhD,4.2,A
196,67014,16,Bachelor,3.9,C
374,99104,13,Bachelor,3.7,D
241,91621,4,Bachelor,4.9,B
369,118388,17,PhD,3.2,C
347,66014,1,Bachelor,4.9,C
351,83755,18,Bachelor,4.7,A
134,90390,17,Bachelor,3.3,D
270,73711,15,Bachelor,4.1,C
490,107993,11,Bachelor,4.7,C
417,77213,13,Bachelor,4.1,C
436,107784,1,PhD,4.8,C
261,57421,17,Bachelor,4.9,B
310,67727,6,Masters,3.8,D
104,54358,4,Bachelor,3.8,A
115,115108,16,Bachelor,4.9,A
474,82117,15,PhD,4.4,B
283,81910,15,PhD,3.2,D
271,105754,6,Masters,3.1,C
393,112438,15,Masters,4.1,B
472,79371,14,PhD,4.9,D
502,101501,11,PhD,4.7,C
401,110946,7,Bachelor,4.4,B
288,88467,9,PhD,3.3,D
470,67625,16,Masters,3.5,A
499,83893,5,Bachelor,4.8,A
259,81007,10,Masters,3.4,D
114,89532,18,Bachelor,3.6,A
373,104253,3,PhD,3.3,D
203,62323,13,Masters,4.4,C
323,64210,11,Bachelor,4.9,D
182,66456,17,Bachelor,3.5,C
448,81367,13,PhD,4.0,B
415,104624,6,PhD,4.3,D
276,60106,17,PhD,5.0,B
237,118008,13,Masters,3.2,A
107,114315,19,Bachelor,4.0,C
217,119249,19,PhD,3.8,D
370,60756,10,Masters,4.7,B
494,118011,3,Masters,4.0,C
186,86378,14,Masters,3.2,C
382,54255,19,PhD,4.3,A
299,64484,5,PhD,4.5,A
116,106549,5,Bachelor,3.0,C
366,84503,17,Bachelor,4.7,C
388,95113,10,PhD,3.4,D
147,55249,5,Masters,4.1,C
126,69201,4,Masters,3.8,D
159,108576,6,Masters,4.4,C
243,59686,4,Bachelor,3.7,A
368,103363,7,Masters,4.7,D
189,50661,7,Bachelor,4.5,B
475,94843,18,Bachelor,4.3,A
300,110963,3,Masters,4.6,D
298,92828,1,Masters,4.5,D
315,98604,4,PhD,3.1,B
181,60526,6,PhD,3.8,D
249,118910,9,Masters,4.9,C
364,75592,14,Bachelor,3.3,B
439,78982,12,Bachelor,4.5,A
503,50207,4,Bachelor,4.9,A
504,118619,12,Bachelor,3.1,C
505,79328,10,Bachelor,4.4,A
506,96479,7,PhD,3.9,D
507,70103,3,Masters,4.2,D
508,89891,14,PhD,3.2,C
509,60754,10,Bachelor,3.1,A
510,105922,16,Bachelor,4.3,A
511,98231,16,Bachelor,4.6,C
512,79301,10,Bachelor,4.6,B
513,112711,13,Masters,4.1,A
514,91323,6,Bachelor,3.2,B
515,68752,12,Masters,4.4,A
516,63395,9,Bachelor,3.5,A
517,106273,13,Masters,4.8,A
518,54895,4,PhD,4.7,A
519,60699,11,Bachelor,4.4,D
520,115061,18,Masters,4.9,B
521,59715,11,PhD,3.1,B
522,69169,4,Bachelor,4.5,A
523,66163,18,Bachelor,3.7,A
524,55782,1,Bachelor,4.8,B
525,85585,7,Masters,3.5,D
526,80682,6,Masters,4.4,C
527,97864,15,PhD,4.8,C
528,105114,18,Masters,3.1,B
529,88067,11,Masters,3.8,A
530,92685,15,Bachelor,4.5,A
531,68073,16,Bachelor,3.9,D
532,86035,7,Bachelor,3.5,C
533,114977,10,Bachelor,3.4,D
534,115450,12,Bachelor,3.3,C
535,60382,14,Bachelor,4.7,B
536,54437,5,Bachelor,4.2,C
537,114612,18,PhD,3.2,D
538,111929,5,PhD,3.8,D
539,62329,3,PhD,3.7,D
540,75169,5,PhD,3.4,B
541,84594,17,Bachelor,3.9,C
542,110631,19,PhD,3.7,C
543,95033,19,Bachelor,3.7,D
544,113133,12,PhD,4.5,C
545,102290,9,Masters,3.4,A
546,81750,1,PhD,4.3,A
547,90461,18,PhD,4.1,A
548,74226,4,Bachelor,4.1,C
549,56721,10,PhD,4.3,B
550,106154,7,Masters,4.1,B
551,70609,1,Bachelor,4.8,B
552,102130,17,Bachelor,4.4,B
